Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,DEU,Germany,2015,All,Age_all,[All],356616.00000000,38.54474708,139.02192394,436.56603651,
EU,Europe,DEU,Germany,2016,All,Age_all,[All],338687.00000000,37.18161948,129.45696818,411.28412167,
EU,Europe,DEU,Germany,2017,All,Age_all,[All],344524.00000000,36.95530918,128.45679721,416.81162817,
EU,Europe,DEU,Germany,2018,All,Age_all,[All],345274.00000000,36.15911628,127.02288543,416.46552468,
EU,Europe,DEU,Germany,2019,All,Age_all,[All],331211.00000000,35.25321441,119.02801356,398.60295268,
EU,Europe,GRC,Greece,2000,All,Age_all,[All],52283.00000000,49.71284587,248.34214604,478.89357384,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],51513.00000000,50.22767383,241.73756983,470.44037541,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],51763.00000000,49.81282779,237.50545116,471.10554765,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],52763.00000000,49.99857859,238.32615028,478.63969552,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],51150.00000000,48.74120943,229.08528271,462.40485783,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],49738.00000000,47.32850577,214.10319089,447.93153847,
